index,City,Date,Card Type,Exp Type,Gender,Amount,Year,Month
0,"Delhi, India",29-10-2014,Gold,Bills,F,82475,2014,October
1,"Greater Mumbai, India",22-08-2014,Platinum,Bills,F,32555,2014,August
2,"Bengaluru, India",27-08-2014,Silver,Bills,F,101738,2014,August
3,"Greater Mumbai, India",12-04-2014,Signature,Bills,F,123424,2014,April
4,"Bengaluru, India",05-05-2015,Gold,Bills,F,171574,2015,May
5,"Delhi, India",08-09-2014,Silver,Bills,F,100036,2014,September
6,"Delhi, India",24-02-2015,Gold,Bills,F,143250,2015,February
7,"Greater Mumbai, India",26-06-2014,Platinum,Bills,F,150980,2014,June
8,"Delhi, India",28-03-2014,Silver,Bills,F,192247,2014,March
9,"Delhi, India",01-09-2014,Platinum,Bills,F,67932,2014,September
10,"Delhi, India",22-06-2014,Platinum,Bills,F,280061,2014,June
11,"Greater Mumbai, India",07-12-2013,Signature,Bills,F,278036,2013,December
12,"Greater Mumbai, India",07-08-2014,Gold,Bills,F,19226,2014,August
13,"Delhi, India",27-04-2014,Signature,Bills,F,254359,2014,April
14,"Greater Mumbai, India",15-08-2014,Signature,Bills,F,302834,2014,August
15,"Greater Mumbai, India",28-11-2014,Platinum,Bills,F,647116,2014,November
16,"Greater Mumbai, India",14-06-2014,Signature,Bills,F,421878,2014,June
17,"Greater Mumbai, India",30-03-2015,Gold,Bills,F,986379,2015,March
18,"Greater Mumbai, India",15-03-2014,Platinum,Bills,F,213047,2014,March
19,"Greater Mumbai, India",09-11-2013,Platinum,Bills,F,735566,2013,November
20,"Delhi, India",04-04-2014,Signature,Bills,F,366102,2014,April
21,"Delhi, India",01-07-2014,Signature,Bills,F,809623,2014,July
22,"Greater Mumbai, India",27-03-2015,Silver,Bills,F,467014,2015,March
23,"Ahmedabad, India",11-10-2013,Gold,Bills,F,668568,2013,October
24,"Ahmedabad, India",26-03-2014,Gold,Bills,F,339112,2014,March
25,"Delhi, India",27-09-2014,Silver,Bills,F,622170,2014,September
26,"Bengaluru, India",23-03-2014,Platinum,Bills,F,434427,2014,March
27,"Greater Mumbai, India",17-05-2014,Signature,Bills,F,655846,2014,May
28,"Bengaluru, India",18-01-2015,Platinum,Bills,F,987935,2015,January
29,"Delhi, India",18-04-2015,Gold,Bills,F,702774,2015,April
30,"Bengaluru, India",31-07-2014,Signature,Bills,F,225392,2014,July
31,"Greater Mumbai, India",11-02-2015,Gold,Bills,F,296573,2015,February
32,"Ahmedabad, India",24-11-2013,Platinum,Bills,F,227702,2013,November
33,"Ahmedabad, India",08-11-2014,Gold,Bills,F,864090,2014,November
34,"Ahmedabad, India",06-09-2014,Signature,Bills,F,440605,2014,September
35,"Ahmedabad, India",24-03-2015,Platinum,Bills,F,954660,2015,March
36,"Ahmedabad, India",01-01-2014,Signature,Bills,F,255577,2014,January
37,"Ahmedabad, India",12-07-2014,Silver,Bills,F,337352,2014,July
38,"Ahmedabad, India",04-02-2014,Platinum,Bills,F,660244,2014,February
39,"Delhi, India",03-02-2015,Silver,Bills,F,401351,2015,February
40,"Delhi, India",27-10-2013,Platinum,Bills,F,678842,2013,October
41,"Delhi, India",11-05-2014,Gold,Bills,F,478861,2014,May
42,"Bengaluru, India",10-11-2014,Platinum,Bills,F,804938,2014,November
43,"Delhi, India",30-01-2015,Silver,Bills,F,888341,2015,January
44,"Bengaluru, India",19-04-2014,Platinum,Bills,F,262414,2014,April
45,"Bengaluru, India",08-09-2014,Gold,Bills,F,249353,2014,September
46,"Ahmedabad, India",10-12-2013,Gold,Bills,F,892016,2013,December
47,"Ahmedabad, India",04-11-2013,Platinum,Bills,F,313626,2013,November
